Product Name,Product Family,LENGTH (Inches),HEIGHT (Inches),WIDTH (Inches),WEIGHT (Lbs),CUBIC VOLUME (ft),Tax Value per Item,,,,
Air Conditioner,Small Appliances,24,12,24,35,4,$100 ,,,,
Armchair,Living Room,30,40,36,35,25,$100 ,,,,
Armoire,Bedroom Furniture,36,72,18,100,27,$200 ,,,,
Artificial Plant / Christmas Tree,Art & Collectables,72,12,36,44,18,$50 ,,,,
Baby Carriage,Children's Furniture,24,36,36,20,18,$50 ,,,,Product Name
Bar Fridge,Small Appliances,19,21,24,61,5.54166666666667,$100 ,,,,Product Family
Bar Stool,Living Room,12,30,16,13,3.33333333333333,$25 ,,,,LENGTH (Inches)
Bedding (per bag),Housewares & Linens,30,18,30,25,9.375,$25 ,,,,HEIGHT (Inches)
Bench,Living Room,48,30,18,65,15,$50 ,,,,WIDTH (Inches)
Book Shelf -Large,Living Room,30,84,10,42,14.5833333333333,$100 ,,,,WEIGHT (Lbs)
Book Shelf -Small,Living Room,30,48,10,20,8.33333333333333,$75 ,,,,CUBIC VOLUME (ft)
Buffet and Hutch,Dining / Kitchen Furniture,60,72,20,100,50,$150 ,,,,Tax Value per Item
Bunk Bed,Bedroom Furniture,80,64,40,100,118.518518518519,$150 ,,,,
Cabinet,Living Room,36,60,18,44,22.5,$150 ,,,,
Captains Bed Frame,Bedroom Furniture,72,36,40,100,60,$150 ,,,,
Carpet -Large,"Rugs, Carpets & Curtains",90,30,32,90,50,$150 ,,,,
CD Stand,Living Room,22,34,20,24,8.65740740740741,$25 ,,,,
"Chair, upholstered",Office Furniture,22,34,20,13,8.65740740740741,$25 ,,,,
Change Table,Children's Furniture,36,48,24,30,24,$25 ,,,,
Chest,Living Room,54,36,18,55,20.25,$100 ,,,,
Chest of Drawers,Bedroom Furniture,58,29,18,55,17.5208333333333,$100 ,,,,
Childs Bed,Children's Furniture,72,36,40,60,60,$100 ,,,,
Childs Desk,Children's Furniture,36,30,18,35,11.25,$100 ,,,,
Childs Dresser,Children's Furniture,48,36,24,60,24,$100 ,,,,
Club Chair,Living Room,30,36,26,35,16.25,$100 ,,,,
Coat Rack,General Furniture,18,60,18,10,11.25,$25 ,,,,
Coffee Table,Living Room,36,24,18,35,9,$100 ,,,,
Computer,Electronics,12,12,8,62,0.666666666666667,$100 ,,,,
Computer Chair,Office Furniture,22,34,20,24,8.65740740740741,$100 ,,,,
Computer Monitor,Electronics,20,12,2,10,0.277777777777778,$100 ,,,,
Computer Monitor -Small (less than 21),Electronics,15,9,2,7,0.15625,$100 ,,,,
Computer Table,Office Furniture,48,30,26,60,21.6666666666667,$100 ,,,,
Credenza,Office Furniture,60,30,20,90,20.8333333333333,$150 ,,,,
Crib,Children's Furniture,48,40,24,30,26.6666666666667,$150 ,,,,
Curtains,"Rugs, Carpets & Curtains",6,8,2,1,0.0555555555555556,$150 ,,,,
Desk,Office Furniture,48,30,26,60,21.6666666666667,$100 ,,,,
Desk-large,Office Furniture,60,30,26,75,27.0833333333333,$100 ,,,,
Dining Chair,Dining / Kitchen Furniture,18,39,25,13,10.15625,$50 ,,,,
Dining Table,Dining / Kitchen Furniture,64,30,40,66,44.4444444444444,$150 ,,,,
Double - Mattress Encasement,Dining / Kitchen Furniture,6,8,2,1,0.0555555555555556,$150 ,,,,
Double Bed - Complete,Bedroom Furniture,75,24,54,100,56.25,$150 ,,,,
Double Bed Frame,Bedroom Furniture,75,6,54,40,14.0625,$75 ,,,,
Double Boxspring,Bedroom Furniture,75,9,54,50,21.09375,$150 ,,,,
Double Mattress,Bedroom Furniture,75,9,54,90,21.09375,$150 ,,,,
Drapes,Housewares & Linens,6,8,2,1,0.0555555555555556,$150 ,,,,
Dresser,Bedroom Furniture,54,36,18,90,20.25,$100 ,,,,
Dresser with mirror,Bedroom Furniture,54,60,18,100,33.75,$100 ,,,,
DVD/VCR Player,Electronics,12,3,8,5,0.166666666666667,$25 ,,,,
Easy chair,Living Room,30,36,26,35,16.25,$25 ,,,,
End Table,Living Room,28,20,18,16,5.83333333333333,$50 ,,,,
Entertainment Unit,Living Room,60,48,18,55,30,$150 ,,,,
Fan,Electronics,12,12,6,22,0.5,$25 ,,,,
Filing Cabinet -Large,Office Furniture,24,48,18,100,12,$25 ,,,,
Filing Cabinet -Small,Office Furniture,16,24,18,50,4,$50 ,,,,
Folding Bed / Cot,Bedroom Furniture,75,17,30,20,22.1354166666667,$50 ,,,,
Folding Chair,Dining / Kitchen Furniture,18,39,25,13,10.15625,$25 ,,,,
Folding Table,Dining / Kitchen Furniture,64,30,40,66,44.4444444444444,$50 ,,,,
Futon -Complete,Living Room,90,30,32,77,50,$150 ,,,,
Hair dryer,Small Appliances,9,9,4,2,0.1875,$150 ,,,,
High Chair,Children's Furniture,24,38,18,20,9.5,$150 ,,,,
Housewares (per box),Housewares & Linens,18,24,18,40,4.5,$25 ,,,,
Ironing Board,Housewares & Linens,48,36,18,7,18,$25 ,,,,
Kitchen Chair,Dining / Kitchen Furniture,18,39,25,13,10.15625,$25 ,,,,
Kitchen Cupboard / Microwave Stand,Dining / Kitchen Furniture,24,48,18,45,12,$50 ,,,,
kitchen items (box),Dining / Kitchen Furniture,18,24,18,50,4.5,$50 ,,,,
Kitchen Table,Dining / Kitchen Furniture,64,30,40,66,44.4444444444444,$150 ,,,,
Lamp -Floor,Living Room,10,60,14,18,4.86111111111111,$25 ,,,,
Lamp -Table,Living Room,10,20,14,11,1.62037037037037,$25 ,,,,
Laundry Hamper,Housewares & Linens,20,24,14,5,3.88888888888889,$25 ,,,,
Lazy Boy chair,Living Room,34,44,36,70,31.1666666666667,$25 ,,,,
Linens (per bag),Housewares & Linens,30,18,30,25,9.375,$25 ,,,,
Loveseat,Living Room,60,30,32,70,33.3333333333333,$150 ,,,,
Magazine Rack,General Furniture,30,18,20,37,6.25,$25 ,,,,
Microwave,Small Appliances,30,18,20,37,6.25,$50 ,,,,
Minibar Fridge,Small Appliances,19,21,24,61,5.54166666666667,$50 ,,,,
Mirror,Bedroom Furniture,24,24,2,15,0.666666666666667,$50 ,,,,
Nesting Table Set,Living Room,24,30,24,30,10,$50 ,,,,
Night Table,Bedroom Furniture,24,20,18,35,5,$50 ,,,,
Occasional Chair,Living Room,18,39,25,13,10.15625,$50 ,,,,
Office Chair,Office Furniture,22,34,20,24,8.65740740740741,$50 ,,,,
One Time Donation,Fundraising,,,,,0,$50 ,,,,
Ottoman,Living Room,24,24,18,22,6,$50 ,,,,
Painting,Art & Collectables,18,12,4,2,0.5,$50 ,,,,
Patio Chair,General Furniture,70,30,40,70,48.6111111111111,$50 ,,,,
Patio Table,General Furniture,70,30,40,70,48.6111111111111,$50 ,,,,
Picture,Art & Collectables,18,12,4,2,0.5,$50 ,,,,
Picture (framed),Art & Collectables,10,10,2,5,0.115740740740741,$25 ,,,,
Pillow,Housewares & Linens,18,12,4,2,0.5,$25 ,,,,
Play-Pen,Children's Furniture,48,36,30,25,30,$25 ,,,,
Pots & Pans (per box),Housewares & Linens,18,24,18,40,4.5,$25 ,,,,
Power Tool,Small Appliances,18,24,18,40,4.5,$25 ,,,,
Power tools,Electronics,18,24,18,40,4.5,$25 ,,,,
Printer,Electronics,18,12,12,13,1.5,$25 ,,,,
Queen - Mattress Encasement,Electronics,6,8,2,1,0.0555555555555556,$25 ,,,,
Queen Bed - Complete,Bedroom Furniture,80,24,60,150,66.6666666666667,$25 ,,,,
Queen Bed Frame,Bedroom Furniture,80,12,60,40,33.3333333333333,$100 ,,,,
Queen Boxspring,Bedroom Furniture,80,12,60,50,33.3333333333333,$150 ,,,,
Queen Mattress,Bedroom Furniture,80,12,60,75,33.3333333333333,$150 ,,,,
Radio,Electronics,18,5,5,5,0.260416666666667,$150 ,,,,
Recliner,Living Room,34,44,36,70,31.1666666666667,$100 ,,,,
Rocking Chair,Living Room,27,44,32,25,22,$75 ,,,,
Room Divider,General Furniture,48,60,2,20,3.33333333333333,$25 ,,,,
Rug,"Rugs, Carpets & Curtains",96,2,120,60,13.3333333333333,$75 ,,,,
Sectional Sofa,Living Room,150,30,32,125,83.3333333333333,$75 ,,,,
Sewing machine,Small Appliances,24,36,18,60,9,$75 ,,,,
Shelf -Large,Dining / Kitchen Furniture,30,84,10,42,14.5833333333333,$100 ,,,,
Shelf -Small,Dining / Kitchen Furniture,30,48,10,20,8.33333333333333,$75 ,,,,
Shoe Rack,General Furniture,36,8,16,7,2.66666666666667,$25 ,,,,
Side Table,Living Room,28,20,18,16,5.83333333333333,$25 ,,,,
Sideboard,Living Room,60,32,18,77,20,$150 ,,,,
Single - Mattress Encasement,Living Room,6,8,2,1,0.0555555555555556,$150 ,,,,
Single Bed - Complete,Bedroom Furniture,75,30,36,100,46.875,$150 ,,,,
Single Bed Frame,Bedroom Furniture,75,6,36,40,9.375,$150 ,,,,
Single Boxspring,Bedroom Furniture,75,12,36,20,18.75,$150 ,,,,
Single Mattress,Bedroom Furniture,75,12,36,60,18.75,$150 ,,,,
Small Appliance (per box),Small Appliances,18,24,18,40,4.5,$25 ,,,,
Sofa,Living Room,90,30,32,90,50,$250 ,,,,
Sofa -Luxury,Living Room,90,30,32,90,50,$500 ,,,,
Sofabed,Living Room,90,30,32,150,50,$300 ,,,,
Sofabed Mattress,Living Room,80,12,60,50,33.3333333333333,$300 ,,,,
Space Heater,Small Appliances,12,24,9,15,1.5,$25 ,,,,
Steamer Trunk,General Furniture,36,24,24,20,12,$25 ,,,,
Stepstool,Dining / Kitchen Furniture,12,12,12,13,1,$25 ,,,,
Stereo (Record Player),Electronics,18,12,9,22,1.125,$50 ,,,,
Stereo Speaker,Electronics,6,10,4,5,0.138888888888889,$25 ,,,,
Stool,Dining / Kitchen Furniture,10,3,10,5,0.173611111111111,$25 ,,,,
Suitcase,General Furniture,14,22,9,12,1.60416666666667,$25 ,,,,
Telephone,Electronics,10,3,10,0.5,0.173611111111111,$25 ,,,,
Television -Tube,Electronics,26,19,16,75,4.57407407407407,$50 ,,,,
Television Stand,Electronics,36,24,18,35,9,$75 ,,,,
Televison -Large Flat Screen (more than 32),Electronics,41,27,4,60,2.5625,$150 ,,,,
Televison -Small Flat Screen (less than 32),Electronics,28,16,4,25,1.03703703703704,$100 ,,,,
Throw rugs,"Rugs, Carpets & Curtains",48,2,24,10,1.33333333333333,$25 ,,,,
Trunk,General Furniture,36,24,24,20,12,$75 ,,,,
TV Tray,General Furniture,18,30,12,5,3.75,$25 ,,,,
Twin Bed - Complete,Bedroom Furniture,75,30,39,45,50.78125,$25 ,,,,
Twin Bed Frame,Bedroom Furniture,75,24,39,20,40.625,$75 ,,,,
Twin Boxspring,Bedroom Furniture,75,12,39,60,20.3125,$100 ,,,,
Twin Mattress,Bedroom Furniture,75,12,39,25,20.3125,$100 ,,,,
Vacuum cleaner,Small Appliances,18,36,12,25,4.5,$75 ,,,,
Vanity,Bedroom Furniture,36,36,21,55,15.75,$150 ,,,,
Wall Unit,Living Room,54,36,18,90,20.25,$100 ,,,,
Wardrobe,Bedroom Furniture,48,72,18,130,36,$200 ,,,,
Waste Basket,Housewares & Linens,18,36,12,25,4.5,$25 ,,,,
Wing chair,Living Room,30,40,36,35,25,$25 ,,,,
King Mattress,Bedroom Furniture,78,80,12,90,43.3333333333333,$150 ,,,,